,experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
0,Experiment 1,3 Layers,32.0,"[[(0.0, 32.0)], [(28, 4.0)], [(0.0, 32.0)], [(22, 2)], [(0.0, 32.0)]]","[[32.0], [4.0], [], [2], [32.0]]","[(0, 0.0, 0.0), (1, 28, 0.875), (2, 32, 1.0), (3, 30, 0.9375), (4, 0.0, 0.0)]","[(1, 28.0, 28.0, 1.0, 0, 28), (2, 32.0, 32.0, 1.0, 0, 32), (3, 30.0, 32.0, 0.9375, 0, 32)]",90,2,0.6349999904632568,0.0
1,Experiment 1,4 Layers,19.0,"[[(0.0, 19.0)], [(14, 5.0)], [(16, 3.0)], [(15, 4.0)], [(0.0, 2.0), (14, 1)], [(0.0, 4.0)], [(0.0, 4.0), (18, 1.0)], [(0.0, 19.0)]]","[[19.0], [5.0], [3.0], [4.0], [2.0, 1], [4.0], [4.0, 1.0], [19.0]]","[(0, 0.0, 0.0), (1, 14, 0.7368421052631579), (2, 16, 0.8421052631578947), (3, 15, 0.7894736842105263), (4, 16, 0.8421052631578947), (5, 15, 0.7894736842105263), (6, 14, 0.7368421052631579), (7, 0.0, 0.0)]","[(1, 14.0, 14.0, 1.0, 0, 14), (2, 16.0, 16.0, 1.0, 0, 16), (3, 15.0, 15.0, 1.0, 0, 15), (4, 16.0, 17.0, 0.9411764705882353, 2, 19), (5, 15.0, 15.0, 1.0, 4, 19), (6, 14.0, 14.0, 1.0, 4, 18)]",90,2,3.0869998931884766,0.0
2,Experiment 1,5 Layers,16.0,"[[(0.0, 16.0)], [(12, 4.0)], [(11, 5.0)], [(12, 4.0)], [(0.0, 2.0), (4, 1), (11, 1), (13, 3.0)], [(0.0, 5.0), (6, 3), (14, 2.0)], [(0.0, 2.0), (6, 2), (14, 2.0)], [(0.0, 4.0)], [(0.0, 7.0), (9, 2)], [(0.0, 4.0), (15, 1.0)], [(0.0, 16.0)]]","[[16.0], [4.0], [5.0], [4.0], [2.0, 1, 1, 3.0], [5.0, 3, 2.0], [2.0, 2, 2.0], [4.0], [7.0, 2], [4.0, 1.0], [16.0]]","[(0, 0.0, 0.0), (1, 12, 0.75), (2, 11, 0.6875), (3, 12, 0.75), (4, 9, 0.5625), (5, 6, 0.375), (6, 10, 0.625), (7, 12, 0.75), (8, 7, 0.4375), (9, 11, 0.6875), (10, 0.0, 0.0)]","[(1, 12.0, 12.0, 1.0, 0, 12), (2, 11.0, 11.0, 1.0, 0, 11), (3, 12.0, 12.0, 1.0, 0, 12), (4, 9.0, 11.0, 0.8181818181818182, 2, 13), (5, 6.0, 9.0, 0.6666666666666666, 5, 14), (6, 10.0, 12.0, 0.8333333333333334, 2, 14), (7, 12.0, 12.0, 1.0, 4, 16), (8, 7.0, 9.0, 0.7777777777777778, 7, 16), (9, 11.0, 11.0, 1.0, 4, 15)]",90,2,1.7879998683929443,0.0
3,Experiment 1,6 Layers,13.0,"[[(0.0, 13.0)], [(8, 5.0)], [(9, 4.0)], [(8, 5.0)], [(0.0, 2.0), (10, 3.0)], [(0.0, 2.0), (3, 1), (10, 3.0)], [(0.0, 2.0), (5, 1), (8, 5.0)], [(0.0, 4.0), (12, 1.0)], [(0.0, 3.0), (12, 1.0)], [(0.0, 4.0), (12, 1.0)], [(0.0, 6.0)], [(0.0, 7.0)], [(0.0, 5.0), (6, 1)], [(0.0, 13.0)]]","[[13.0], [5.0], [4.0], [5.0], [2.0, 3.0], [2.0, 1, 3.0], [2.0, 1, 5.0], [4.0, 1.0], [3.0, 1.0], [4.0, 1.0], [6.0], [7.0], [5.0, 1], [13.0]]","[(0, 0.0, 0.0), (1, 8, 0.6153846153846154), (2, 9, 0.6923076923076923), (3, 8, 0.6153846153846154), (4, 8, 0.6153846153846154), (5, 7, 0.5384615384615384), (6, 5, 0.38461538461538464), (7, 8, 0.6153846153846154), (8, 9, 0.6923076923076923), (9, 8, 0.6153846153846154), (10, 7, 0.5384615384615384), (11, 6, 0.46153846153846156), (12, 7, 0.5384615384615384), (13, 0.0, 0.0)]","[(1, 8.0, 8.0, 1.0, 0, 8), (2, 9.0, 9.0, 1.0, 0, 9), (3, 8.0, 8.0, 1.0, 0, 8), (4, 8.0, 8.0, 1.0, 2, 10), (5, 7.0, 8.0, 0.875, 2, 10), (6, 5.0, 6.0, 0.8333333333333334, 2, 8), (7, 8.0, 8.0, 1.0, 4, 12), (8, 9.0, 9.0, 1.0, 3, 12), (9, 8.0, 8.0, 1.0, 4, 12), (10, 7.0, 7.0, 1.0, 6, 13), (11, 6.0, 6.0, 1.0, 7, 13), (12, 7.0, 8.0, 0.875, 5, 13)]",90,2,7.705000162124634,0.0
4,Experiment 2,No Flexibility,18.0,"[[(0.0, 18.0)], [(4, 2), (7, 11.0)], [(10, 8.0)], [(15, 3.0)], [(0.0, 1.0), (4, 3), (8, 3), (12, 6.0)], [(0.0, 2.0), (12, 6.0)], [(0.0, 3.0)], [(0.0, 18.0)]]","[[18.0], [2, 11.0], [8.0], [3.0], [1.0, 3, 3, 6.0], [2.0, 6.0], [3.0], [18.0]]","[(0, 0.0, 0.0), (1, 5, 0.2777777777777778), (2, 10, 0.5555555555555556), (3, 15, 0.8333333333333334), (4, 5, 0.2777777777777778), (5, 10, 0.5555555555555556), (6, 15, 0.8333333333333334), (7, 0.0, 0.0)]","[(1, 5.0, 7.0, 0.7142857142857143, 0, 7), (2, 10.0, 10.0, 1.0, 0, 10), (3, 15.0, 15.0, 1.0, 0, 15), (4, 5.0, 11.0, 0.45454545454545453, 1, 12), (5, 10.0, 10.0, 1.0, 2, 12), (6, 15.0, 15.0, 1.0, 3, 18)]",60,2,0.03899979591369629,0.0
5,Experiment 2,Low Flexibility,13.0,"[[(0.0, 13.0)], [(10, 3.0)], [(4, 1), (10, 1), (12, 1.0)], [(8, 1), (11, 2.0)], [(0.0, 2.0), (6, 1)], [(0.0, 3.0)], [(0.0, 3.0)], [(0.0, 13.0)]]","[[13.0], [3.0], [1, 1, 1.0], [1, 2.0], [2.0, 1], [3.0], [3.0], [13.0]]","[(0, 0.0, 0.0), (1, 10, 0.7692307692307693), (2, 10, 0.7692307692307693), (3, 10, 0.7692307692307693), (4, 10, 0.7692307692307693), (5, 10, 0.7692307692307693), (6, 10, 0.7692307692307693), (7, 0.0, 0.0)]","[(1, 10.0, 10.0, 1.0, 0, 10), (2, 10.0, 12.0, 0.8333333333333334, 0, 12), (3, 10.0, 11.0, 0.9090909090909091, 0, 11), (4, 10.0, 11.0, 0.9090909090909091, 2, 13), (5, 10.0, 10.0, 1.0, 3, 13), (6, 10.0, 10.0, 1.0, 3, 13)]",60,2,1.0230000019073486,0.0
6,Experiment 2,High Flexibility,13.0,"[[(0.0, 13.0)], [(8, 1), (10, 3.0)], [(10, 3.0)], [(11, 2.0)], [(0.0, 4.0)], [(0.0, 3.0)], [(0.0, 2.0)], [(0.0, 13.0)]]","[[13.0], [1, 3.0], [3.0], [2.0], [4.0], [3.0], [2.0], [13.0]]","[(0, 0.0, 0.0), (1, 9, 0.6923076923076923), (2, 10, 0.7692307692307693), (3, 11, 0.8461538461538461), (4, 9, 0.6923076923076923), (5, 10, 0.7692307692307693), (6, 11, 0.8461538461538461), (7, 0.0, 0.0)]","[(1, 9.0, 10.0, 0.9, 0, 10), (2, 10.0, 10.0, 1.0, 0, 10), (3, 11.0, 11.0, 1.0, 0, 11), (4, 9.0, 9.0, 1.0, 4, 13), (5, 10.0, 10.0, 1.0, 3, 13), (6, 11.0, 11.0, 1.0, 2, 13)]",60,2,55.598999977111816,0.0
7,Experiment 6,3 Layers,60.0,"[[(0.0, 60.0)], [(0.0, 60.0)], [(0.0, 60.0)], [(0.0, 60.0)], [(0.0, 60.0)]]","[[60.0], [], [], [], [60.0]]","[(0, 0.0, 0.0), (1, 60, 1.0), (2, 60, 1.0), (3, 60, 1.0), (4, 0.0, 0.0)]","[(1, 60.0, 60.0, 1.0, 0, 60), (2, 60.0, 60.0, 1.0, 0, 60), (3, 60.0, 60.0, 1.0, 0, 60)]",180,2,8.33899998664856,0.0
8,Experiment 6,4 Layers,34.0,"[[(0.0, 34.0)], [(32, 2.0)], [(30, 4.0)], [(22, 1), (29, 5.0)], [(0.0, 4.0)], [(0.0, 3.0)], [(0.0, 4.0), (33, 1.0)], [(0.0, 34.0)]]","[[34.0], [2.0], [4.0], [1, 5.0], [4.0], [3.0], [4.0, 1.0], [34.0]]","[(0, 0.0, 0.0), (1, 32, 0.9411764705882353), (2, 30, 0.8823529411764706), (3, 28, 0.8235294117647058), (4, 30, 0.8823529411764706), (5, 31, 0.9117647058823529), (6, 29, 0.8529411764705882), (7, 0.0, 0.0)]","[(1, 32.0, 32.0, 1.0, 0, 32), (2, 30.0, 30.0, 1.0, 0, 30), (3, 28.0, 29.0, 0.9655172413793104, 0, 29), (4, 30.0, 30.0, 1.0, 4, 34), (5, 31.0, 31.0, 1.0, 3, 34), (6, 29.0, 29.0, 1.0, 4, 33)]",180,2,146.11500000953674,0.0
9,Experiment 6,5 Layers,26.0,"[[(0.0, 26.0)], [(24, 2.0)], [(23, 3.0)], [(23, 3.0)], [(0.0, 2.0), (4, 2), (9, 1), (12, 1), (17, 1), (21, 1), (25, 1.0)], [(0.0, 2.0), (3, 4), (8, 1), (11, 2), (14, 1), (17, 1), (24, 2.0)], [(0.0, 2.0), (16, 3), (25, 1.0)], [(0.0, 4.0)], [(0.0, 3.0), (4, 4), (10, 1), (12, 2)], [(0.0, 4.0)], [(0.0, 26.0)]]","[[26.0], [2.0], [3.0], [3.0], [2.0, 2, 1, 1, 1, 1, 1.0], [2.0, 4, 1, 2, 1, 1, 2.0], [2.0, 3, 1.0], [4.0], [3.0, 4, 1, 2], [4.0], [26.0]]","[(0, 0.0, 0.0), (1, 24, 0.9230769230769231), (2, 23, 0.8846153846153846), (3, 23, 0.8846153846153846), (4, 17, 0.6538461538461539), (5, 13, 0.5), (6, 20, 0.7692307692307693), (7, 22, 0.8461538461538461), (8, 16, 0.6153846153846154), (9, 22, 0.8461538461538461), (10, 0.0, 0.0)]","[(1, 24.0, 24.0, 1.0, 0, 24), (2, 23.0, 23.0, 1.0, 0, 23), (3, 23.0, 23.0, 1.0, 0, 23), (4, 17.0, 23.0, 0.7391304347826086, 2, 25), (5, 13.0, 22.0, 0.5909090909090909, 2, 24), (6, 20.0, 23.0, 0.8695652173913043, 2, 25), (7, 22.0, 22.0, 1.0, 4, 26), (8, 16.0, 23.0, 0.6956521739130435, 3, 26), (9, 22.0, 22.0, 1.0, 4, 26)]",180,2,60.17700004577637,0.0
